file,true,pred,confidence,severity_score,severity_level
01 - Chuck HolePunch Out (5).jpg,potholes,potholes,0.7096072435379028,0.0060498046875,Low
01 - Chuck HolePunch Out (6).jpg,potholes,potholes,0.9380187392234802,0.008076171875,Low
01 - Chuck-holePunch-out (RL) (2).jpg,potholes,potholes,0.7737736701965332,0.00249267578125,Low
01- Potholes (Bowl-Shaped) (LL).jpg,potholes,crack_issues,0.9999973773956299,0.01347412109375,Low
01- Potholes (Spalling) (RL)3.jpg,potholes,crack_issues,0.9999872446060181,0.0153564453125,Low
01-Pothole and cracls.jpg,potholes,crack_issues,0.701051652431488,0.01260009765625,Low
IMG_20250508_134638.jpg,potholes,potholes,0.9271033406257629,0.06403076171875,Moderate
IMG_20250508_135240.jpg,potholes,potholes,0.9451351761817932,0.014912109375,Low
IMG_20250508_135244.jpg,potholes,potholes,0.9976679682731628,0.008154296875,Low
IMG_20250508_135252.jpg,potholes,potholes,0.9992448091506958,0.00628662109375,Low
