file,true,pred,confidence,severity_score,severity_level
01 - Chuck HolePunch Out (5).jpg,potholes,potholes,0.7096072435379028,0.0060498046875,Low
01 - Chuck HolePunch Out (6).jpg,potholes,potholes,0.9380187392234802,0.008076171875,Low
01 - Chuck-holePunch-out (RL) (2).jpg,potholes,potholes,0.7737736701965332,0.00249267578125,Low
01- Potholes (Bowl-Shaped) (LL).jpg,potholes,crack_issues,0.9999973773956299,0.01347412109375,Low
01- Potholes (Spalling) (RL)3.jpg,potholes,crack_issues,0.9999872446060181,0.0153564453125,Low
01-Pothole and cracls.jpg,potholes,crack_issues,0.701051652431488,0.01260009765625,Low
IMG_20250508_134638.jpg,potholes,potholes,0.9271033406257629,0.06403076171875,Moderate
IMG_20250508_135240.jpg,potholes,potholes,0.9451351761817932,0.014912109375,Low
IMG_20250508_135244.jpg,potholes,potholes,0.9976679682731628,0.008154296875,Low
IMG_20250508_135252.jpg,potholes,potholes,0.9992448091506958,0.00628662109375,Low
12 - Cracks (Longitudinal Crack) (RL).jpg,crack_issues,crack_issues,0.9999872446060181,0.011240234375,Low
12 - Cracks (Longitudinal Cracks) (RL)8.jpg,crack_issues,crack_issues,0.9999984502792358,0.008515625,Low
12 - Cracks (Longitudinal Craks) (RL).jpg,crack_issues,crack_issues,0.9999973773956299,0.02390625,Low
12 - Cracks (Longitudinal Craks) (RL)7.jpg,crack_issues,crack_issues,0.9992032647132874,0.00900146484375,Low
12 - Cracks (Longitudinal Craks) (RL)8.jpg,crack_issues,crack_issues,0.9999816417694092,0.00521728515625,Low
12 - Cracks(1).jpg,crack_issues,crack_issues,0.9988728165626526,0.01908935546875,Low
12- Cracks10 (1).jpg,crack_issues,crack_issues,0.9990487694740295,0.022099609375,Low
12- Cracks4 (1).jpg,crack_issues,crack_issues,1.0,0.01074462890625,Low
12- Cracks6 (1).jpg,crack_issues,crack_issues,0.9994248151779175,0.014140625,Low
12- Cracks9 (1).jpg,crack_issues,crack_issues,0.9198237061500549,0.006328125,Low
IMG_20250508_134955.jpg,crack_issues,ravelling,0.7836905717849731,0.06465087890625,Moderate
12 - Cracks12.jpg,alligator_crack_issues,alligator_crack_issues,0.9999902248382568,0.0377978515625,Low
2 - Alligator Crack106.jpg,alligator_crack_issues,alligator_crack_issues,0.9999997615814209,0.0096435546875,Low
2 - Alligator Crack110.jpg,alligator_crack_issues,alligator_crack_issues,0.9987039566040039,0.018330078125,Low
2 - Alligator Crack24.jpg,alligator_crack_issues,alligator_crack_issues,0.9845811724662781,0.00310302734375,Low
2 - Alligator Crack50.jpg,alligator_crack_issues,alligator_crack_issues,0.9767475724220276,0.1770361328125,Severe
2 - Alligator Crack55.jpg,alligator_crack_issues,alligator_crack_issues,0.6517382264137268,0.0,Low
2 - Alligator Crack60.jpg,alligator_crack_issues,alligator_crack_issues,0.9999986886978149,0.1474609375,Moderate
2 - Alligator Crack94.jpg,alligator_crack_issues,alligator_crack_issues,0.9999958276748657,0.0423486328125,Low
alligator5.jpg,alligator_crack_issues,crack_issues,0.9605823159217834,0.01509521484375,Low
1746697115846 ravelling.jpg,ravelling,ravelling,0.9901373386383057,0.1782763671875,Severe
alligator with ravelling.jpg,ravelling,alligator_crack_issues,1.0,0.027841796875,Low
crack with ravelling.jpg,ravelling,ravelling,0.9993670582771301,0.0427587890625,Low
cracks with ravelling.jpg,ravelling,crack_issues,0.6001214385032654,0.0065283203125,Low
IMG_20250508_133457.jpg,ravelling,ravelling,0.9965967535972595,0.07295654296875,Moderate
IMG_20250508_133644.jpg,ravelling,ravelling,0.9842921495437622,0.01653076171875,Low
IMG_20250508_133734.jpg,ravelling,ravelling,0.9976688027381897,0.0165771484375,Low
IMG_20250508_135111.jpg,ravelling,ravelling,0.9997962117195129,0.041806640625,Low
IMG_20250508_135348.jpg,ravelling,ravelling,0.8151774406433105,0.0106884765625,Low
ravelling1.jpg,ravelling,ravelling,0.9976525902748108,0.11430908203125,Moderate
ravelling20.jpg,ravelling,alligator_crack_issues,0.6120872497558594,0.29550048828125,Severe
1003.jpg,open_manhole,open_manhole,1.0,0.1351123046875,Moderate
1031.jpg,open_manhole,open_manhole,0.8428758382797241,0.05454345703125,Moderate
1038.jpg,open_manhole,open_manhole,0.9999997615814209,0.00817138671875,Low
1039.jpg,open_manhole,open_manhole,0.9999492168426514,0.01846435546875,Low
1063.jpg,open_manhole,open_manhole,0.9622287154197693,0.1858837890625,Severe
1064.jpg,open_manhole,open_manhole,1.0,0.13420654296875,Moderate
1066.jpg,open_manhole,open_manhole,0.9999997615814209,0.00939697265625,Low
1136.jpg,open_manhole,open_manhole,1.0,0.11737548828125,Moderate
1140.jpg,open_manhole,open_manhole,1.0,0.00549560546875,Low
1146.jpg,open_manhole,open_manhole,0.9999754428863525,0.01064208984375,Low
