file,true,pred,confidence,severity_score,severity_level
01 - Chuck HolePunch Out.jpg,potholes,potholes,0.9998329877853394,0.0120751953125,Low
01 - Chuck HolePunch Out_color.jpg,potholes,potholes,0.9998794794082642,0.0145068359375,Low
01 - Chuck HolePunch Out_exp.jpg,potholes,potholes,0.9978219270706177,0.0311669921875,Moderate
01 - Chuck HolePunch Out_motion.jpg,potholes,potholes,0.9999983310699463,0.0119189453125,Low
01 - Chuck HolePunch Out_rot1.jpg,potholes,potholes,0.9998960494995117,0.011396484375,Low
01 - Chuck HolePunch Out_rot2.jpg,potholes,potholes,0.9998629093170166,0.01571533203125,Low
01 - Chuck HolePunch Out_rot3.jpg,potholes,potholes,0.9966772794723511,0.006728515625,Low
01 - Chuck HolePunch Out_scale.jpg,potholes,potholes,0.9995958209037781,0.01216064453125,Low
01 - Chuck HolePunch Out_sharp.jpg,potholes,potholes,0.97444087266922,0.06245361328125,Moderate
01 - Chuck-holePunch-out (RL).jpg,potholes,potholes,0.9998282194137573,0.00292724609375,Low
01 - Chuck-holePunch-out (RL)_color.jpg,potholes,potholes,0.9994921684265137,0.00224365234375,Low
01 - Chuck-holePunch-out (RL)_exp.jpg,potholes,potholes,0.9998866319656372,0.011904296875,Low
01 - Chuck-holePunch-out (RL)_motion.jpg,potholes,potholes,0.9997648596763611,0.01579345703125,Low
01 - Chuck-holePunch-out (RL)_rot1.jpg,potholes,potholes,0.9996193647384644,0.00821533203125,Low
01 - Chuck-holePunch-out (RL)_rot2.jpg,potholes,potholes,0.9996216297149658,0.0730078125,Moderate
01 - Chuck-holePunch-out (RL)_rot3.jpg,potholes,potholes,0.9995742440223694,0.00568603515625,Low
01 - Chuck-holePunch-out (RL)_scale.jpg,potholes,potholes,0.9997594952583313,0.00315185546875,Low
01 - Chuck-holePunch-out (RL)_sharp.jpg,potholes,potholes,0.9995425939559937,0.00868896484375,Low
01 - pothole (3).jpg,potholes,potholes,0.9999990463256836,0.00335205078125,Low
